vgs,id,gm,gds,cgg,vth,gm_id,id_w,gain,ft
0.0,9.10002208e-13,6.52291772e-17,9.24168341e-20,3.0885355e-14,1.0304178,7.168024058244922e-05,9.10002208e-14,705.8148857319492,0.0003361316709876625
0.01,9.10002842e-13,8.84676138e-17,1.25341211e-19,3.0399249e-14,1.0304178,9.721685440626348e-05,9.100028420000001e-14,705.8142576905532,0.0004631712460993617
0.02,9.10003975e-13,1.19984879e-16,1.69995156e-19,2.9934022e-14,1.0304178,0.00013185093944232496,9.10003975e-14,705.813517415755,0.000637942558775862
0.03,9.10005368e-13,1.62730322e-16,2.30557384e-19,2.94884149e-14,1.0304178,0.0001788234748083376,9.100053680000001e-14,705.8126665767511,0.0008782884812583061
0.04,9.10007263e-13,2.20703982e-16,3.12695286e-19,2.90612601e-14,1.0304178,0.00024252991264312577,9.100072630000001e-14,705.8116699591052,0.0012086925885008233
0.05,9.10009838e-13,2.99330882e-16,4.24095247e-19,2.8651475e-14,1.0304178,0.0003289314790902294,9.10009838e-14,705.8105086473653,0.001662741254694805
0.06,9.10013333e-13,4.05968655e-16,5.75181902e-19,2.82580569e-14,1.0304178,0.0004461128648100808,9.100133329999999e-14,705.809159829928,0.0022864954378239042
0.07,9.10018076e-13,5.5059598e-16,7.80093598e-19,2.78800772e-14,1.0304178,0.0006050385091471524,9.10018076e-14,705.8075869506112,0.00314310721720406
0.08,9.10024511e-13,7.46746255e-16,1.05800534e-18,2.75166762e-14,1.0304178,0.0008205781778113007,9.100245110000001e-14,705.8057523603804,0.004319139305008465
0.09,9.1003324e-13,1.01277383e-15,1.43492297e-18,2.7167058e-14,1.0304178,0.0011128976233879104,9.100332400000001e-14,705.8036223366053,0.00593321372077208
0.1,9.10045079e-13,1.37357123e-15,1.94611649e-18,2.68304859e-14,1.0304178,0.001509344165136681,9.10045079e-14,705.80113629272,0.008147845393411778
0.11,9.10061136e-13,1.86289804e-15,2.63942005e-18,2.65062778e-14,1.0304178,0.002047003180674227,9.10061136e-14,705.7982453380241,0.011185630580775222
0.12,9.10082914e-13,2.52653918e-15,3.57970746e-18,2.61938024e-14,1.0304178,0.0027761637331431104,9.10082914e-14,705.7948752046906,0.01535138706751273
0.13,9.10112451e-13,3.42658794e-15,4.85496156e-18,2.58924756e-14,1.0304178,0.0037650160002041327,9.10112451e-14,705.7909517207381,0.021062428213317497
0.14,9.10152511e-13,4.64725431e-15,6.5845055e-18,2.56017566e-14,1.0304178,0.005106017127716302,9.10152511e-14,705.7863813767032,0.028889951060686807
0.15,9.10206841e-13,6.30274152e-15,8.93016528e-18,2.53211454e-14,1.0304178,0.006924515655227864,9.102068410000001e-14,705.781060303063,0.03961560395836304
0.16,9.10280525e-13,8.54792706e-15,1.21114076e-17,2.50501797e-14,1.0304178,0.009390431658416508,9.10280525e-14,705.77486468212,0.05430878584826967
0.17,9.10380457e-13,1.15928465e-14,1.64258684e-17,2.47884323e-14,1.0304178,0.012734067840386427,9.10380457e-14,705.7676475722891,0.07443225140867735
0.18,9.10515986e-13,1.57223331e-14,2.22771906e-17,2.4535509e-14,1.0304178,0.017267498145826076,9.10515986e-14,705.7592396771971,0.10198635087628803
0.19,9.10699791e-13,2.13226484e-14,3.02127734e-17,2.42910465e-14,1.0304178,0.0234134767688774,9.106997909999999e-14,705.7494562879157,0.1397059979556868
0.2,9.10949067e-13,2.89175892e-14,4.09749607e-17,2.40547106e-14,1.0304178,0.03174446327195152,9.10949067e-14,705.7380582185648,0.19132956284582397
0.21,9.11287131e-13,3.92174438e-14,5.55704498e-17,2.38261946e-14,1.0304178,0.04303522179333837,9.112871310000001e-14,705.7247861254491,0.26196588003182864
0.22,9.11745605e-13,5.31853629e-14,7.53644035e-17,2.36052177e-14,1.0304178,0.0583335555535801,9.11745605e-14,705.7093326559667,0.35859501544318745
0.23,9.12367368e-13,7.21273372e-14,1.02208053e-16,2.33915242e-14,1.0304178,0.07905514788205359,9.12367368e-14,705.6913333433716,0.49075135717047236
0.24,9.13210565e-13,9.78141683e-14,1.38611696e-16,2.31848819e-14,1.0304178,0.10711020223468397,9.132105649999999e-14,705.6703808024973,0.6714551515299103
0.25,9.14354043e-13,1.32646794e-13,1.87979239e-16,2.29850816e-14,1.0304178,0.1450715890802924,9.14354043e-14,705.6459782774203,0.9184824016631885
0.26,9.1590471e-13,1.79880357e-13,2.54926133e-16,2.27919362e-14,1.0304178,0.19639636638619318,9.159047099999999e-14,705.6175641278801,1.2560954773857615
0.27,9.18007524e-13,2.43927859e-13,3.45710351e-16,2.26052798e-14,1.0304178,0.26571444418793233,9.18007524e-14,705.5844821956169,1.7174007515568497
0.28,9.20859021e-13,3.30771598e-13,4.68816513e-16,2.24249678e-14,1.0304178,0.3591989549505646,9.208590209999999e-14,705.5459627122818,2.3475589943146
0.29,9.24725657e-13,4.48520588e-13,6.35747526e-16,2.22508758e-14,1.0304178,0.48503097605736706,9.24725657e-14,705.5011142898259,3.2081554587025938
0.3,9.29968657e-13,6.08165587e-13,8.62097293e-16,2.20829e-14,1.0304178,0.6539635313752301,9.299686569999999e-14,705.4488999538014,4.383145301995396
0.31,9.37077691e-13,8.24601602e-13,1.16900411e-15,2.19209564e-14,1.0304178,0.8799714366479352,9.37077691e-14,705.3881119374337,5.9869386465179835
0.32,9.46716484e-13,1.11801227e-12,1.58511948e-15,2.17649812e-14,1.0304178,1.1809367312125518,9.46716484e-14,705.3173493268786,8.175388601203604
0.33,9.59784606e-13,1.51574366e-12,2.14927465e-15,2.16149307e-14,1.0304178,1.5792539810749995,9.59784606e-14,705.2349777633119,11.160715678315876
0.34,9.7750113e-13,2.05483967e-12,2.91409124e-15,2.14707812e-14,1.0304178,2.102135339731014,9.775011299999999e-14,705.1390985273337,15.23176486665604
0.35,1.0015179e-12,2.78547131e-12,3.95086896e-15,2.13325294e-14,1.0304178,2.7812496511545124,1.0015179e-13,705.0275112136344,20.781479753974093
0.36,1.03407282e-12,3.77557293e-12,5.35620016e-15,2.12001926e-14,1.0304178,3.651167361695088,1.0340728200000001e-13,704.8976545342547,28.344133761004155
0.37,1.07819723e-12,5.11710682e-12,7.26091782e-15,2.1073809e-14,1.0304178,4.745984016300987,1.0781972300000001e-13,704.7465550298709,38.645735316868894
0.38,1.1379964e-12,6.93452311e-12,9.84219539e-15,2.09534384e-14,1.0304178,6.093624821660244,1.1379964e-13,704.5707624383995,52.6721967952278
0.39,1.21902863e-12,9.39617595e-12,1.33399004e-14,2.0839162e-14,1.0304178,7.707920649903031,1.2190286299999999e-13,704.3662747287079,71.7614196100441
0.4,1.32881741e-12,1.27297164e-11,1.8078685e-14,2.07310839e-14,1.0304178,9.579733305872324,1.32881741e-13,704.128447395372,97.72751386231025
0.41,1.47754299e-12,1.72428276e-11,2.44978056e-14,2.06293309e-14,1.0304178,11.66993293372804,1.47754299e-13,703.851923782104,133.02812673489873
0.42,1.67897526e-12,2.33511236e-11,3.31913465e-14,2.05340535e-14,1.0304178,13.907961693253302,1.67897526e-13,703.5304699072693,180.9894353148449
0.43,1.95173134e-12,3.16156403e-11,4.49624259e-14,2.04454268e-14,1.0304178,16.198766526954472,1.9517313400000002e-13,703.1569063981487,246.10811415100088
0.44,2.32096906e-12,4.27931371e-11,6.08961722e-14,2.0363651e-14,1.0304178,18.43761635495477,2.32096906e-13,702.722938963313,334.45570737163854
0.45,2.82066468e-12,5.79034684e-11,8.24578492e-14,2.02889524e-14,1.0304178,20.52830625723296,2.82066468e-13,702.2189999105627,454.21878056283276
