vgs,id,gm,gds,cgg,vth,gm_id,id_w,gain,ft
0.32,4.71749343e-09,1.25780566e-07,7.00568398e-10,2.73478674e-14,0.576624566,26.66258424444695,4.717493429999999e-10,179.54073629224706,731998.5332310185
0.33,6.15656949e-09,1.63668024e-07,9.14039814e-10,2.79689171e-14,0.576624566,26.584289232151587,6.15656949e-10,179.0600600686744,931340.1356423256
0.34,8.02796706e-09,2.12711992e-07,1.19144726e-09,2.86199223e-14,0.576624566,26.496370801003266,8.027967059999999e-10,178.53244465055045,1182888.0814859408
0.35,1.04584769e-08,2.76084543e-07,1.55140816e-09,2.92993443e-14,0.576624566,26.398159659366843,1.04584769e-09,177.95738743568293,1499699.763919868
0.36,1.36107251e-08,3.57812604e-07,2.01771124e-09,3.00053583e-14,0.576624566,26.289018503503534,1.36107251e-09,177.33588280947475,1897915.834158957
0.37,1.7692749e-08,4.62990628e-07,2.62063828e-09,3.07358686e-14,0.576624566,26.168382765165546,1.7692749000000001e-09,176.6709398749987,2397434.9972143257
0.38,2.29699296e-08,5.98040708e-07,3.39857251e-09,3.14885318e-14,0.576624566,26.035809356594633,2.29699296e-09,175.96820613369817,3022723.8110980075
0.39,2.97798021e-08,7.71029751e-07,4.39993334e-09,3.22607846e-14,0.576624566,25.89103004818155,2.97798021e-09,175.2366891540225,3803788.3350971956
0.4,3.85503712e-08,9.92055622e-07,5.68547314e-09,3.30498767e-14,0.576624566,25.734009585879164,3.8550371199999995e-09,174.4895451216572,4777341.7582343
0.41,4.98226944e-08,1.27371728e-06,7.33096137e-09,3.38529087e-14,0.576624566,25.5650019602312,4.9822694399999996e-09,173.74491771465983,5988212.209769842
0.42,6.42786641e-08,1.63168814e-06,9.43026482e-09,3.46668726e-14,0.576624566,25.38459942884843,6.42786641e-09,173.026757057709,7491048.761791698
0.43,8.27751393e-08,2.08541709e-06,1.20988064e-08,3.5488694e-14,0.576624566,25.193761165920503,8.27751393e-09,172.36552276760128,9352399.338274213
0.44,1.06385851e-07,2.6589879e-06,1.54773489e-08,3.63152755e-14,0.576624566,24.993811442087353,1.06385851e-08,171.79866637237853,11653252.304434214
0.45,1.36452841e-07,3.38217273e-06,1.97360035e-08,3.71435393e-14,0.576624566,24.78638557624462,1.3645284099999999e-08,171.37069974678508,14492143.681367228
0.46,1.74649565e-07,4.291718e-06,2.50783067e-08,3.79704686e-14,0.576624566,24.57331056049295,1.74649565e-08,171.13268656212742,17988930.851816323
0.47,2.2305816e-07,5.43289445e-06,3.1745149e-08,3.8793145e-14,0.576624566,24.356403056494322,2.2305816000000002e-08,171.1409340053814,22289298.973156832
0.48,2.84263582e-07,6.86132159e-06,4.00182757e-08,3.96087843e-14,0.576624566,24.13718120951561,2.84263582e-08,171.45470338193508,27569976.36990446
0.49,3.61467247e-07,8.64503138e-06,5.02230321e-08,4.04147658e-14,0.576624566,23.91649990904985,3.6146724699999996e-08,172.13280478141422,34044474.83675754
0.5,4.58622074e-07,1.08666573e-05,6.27299918e-08,4.12086579e-14,0.576624566,23.694143644730016,4.58622074e-08,173.22905659936654,41968904.407843605
0.51,5.80589148e-07,1.3625522e-05,7.79551106e-08,4.19882387e-14,0.576624566,23.46844071567111,5.80589148e-08,174.7867701697546,51647062.26430422
0.52,7.33313282e-07,1.70392531e-05,9.63580885e-08,4.27515102e-14,0.576624566,23.23598047144058,7.33313282e-08,176.8326184677273,63433580.352417625
0.53,9.24010282e-07,2.12444114e-05,1.18438713e-07,4.34967081e-14,0.576624566,22.99153138644403,9.24010282e-08,179.37050194052682,77733539.73396006
0.54,1.16135298e-06,2.63955088e-05,1.44731086e-07,4.42223066e-14,0.576624566,22.728239608943014,1.16135298e-07,182.37622289381565,94996756.70345117
0.55,1.4556367e-06,3.26617802e-05,1.75795803e-07,4.4927018e-14,0.576624566,22.438140093609896,1.4556367e-07,185.79385652341202,115705070.1431151
0.56,1.81889913e-06,4.02212221e-05,2.12210337e-07,4.56097884e-14,0.576624566,22.112948121537666,1.81889913e-07,189.5346978314256,140351589.84451643
0.57,2.26496599e-06,4.92517382e-05,2.54558028e-07,4.62697904e-14,0.576624566,21.745023288407083,2.26496599e-07,193.47941444612385,169411996.95596477
0.58,2.80939488e-06,5.99197275e-05,3.03416273e-07,4.69064118e-14,0.576624566,21.32833939670311,2.8093948799999997e-07,197.48356575456322,203309536.03968436
0.59,3.46929583e-06,7.23670355e-05,3.59344534e-07,4.75192427e-14,0.576624566,20.85928645064552,3.4692958299999997e-07,201.38621476847064,242376998.50237027
0.6,4.26301902e-06,8.66977055e-05,4.22872895e-07,4.81080601e-14,0.576624566,20.337161315315925,4.2630190199999996e-07,205.0207202332039,286820303.2167244
0.61,5.20971615e-06,0.000102966286,4.9449181e-07,4.86728123e-14,0.576624566,19.76427947998664,5.20971615e-07,208.22647396323913,336688853.8863784
0.62,6.32880019e-06,0.000121169423,5.74643634e-07,4.92136012e-14,0.576624566,19.145717886852736,6.328800190000001e-07,210.86011543634365,391857375.84354615
0.63,7.63934315e-06,0.000141242093,6.63716401e-07,4.97306657e-14,0.576624566,18.488774522453546,7.63934315e-07,212.80488592295615,452022448.4667453
0.64,9.15946263e-06,0.000163059137,7.62040113e-07,5.02243642e-14,0.576624566,17.802260196567886,9.15946263e-07,213.97710464094692,516714707.75629187
0.65,1.09057499e-05,0.00018644196,8.69885665e-07,5.06951581e-14,0.576624566,17.09574872975952,1.0905749899999999e-06,214.32927050246312,585325317.9565768
0.66,1.28927873e-05,0.000211169471,9.87466305e-07,5.11435957e-14,0.576624566,16.37888426190045,1.28927873e-06,213.84979915846344,657143180.4852674
0.67,1.51327904e-05,0.000236991827,1.1149414e-06,5.15702974e-14,0.576624566,15.660814743062854,1.51327904e-06,212.5598950761,731398162.1410875
0.68,1.76353941e-05,0.00026364526,1.25242209e-06,5.19759416e-14,0.576624566,14.949779886121174,1.76353941e-06,210.5083119381901,807305169.6623414
0.69,2.04075864e-05,0.000290866386,1.39997847e-06,5.23612516e-14,0.576624566,14.25285579092293,2.04075864e-06,207.76489941306028,884104594.4588397
0.7,2.34537764e-05,0.00031840467,1.55764758e-06,5.27269842e-14,0.576624566,13.575838047130013,2.34537764e-06,204.4138058494592,961095687.5861622
0.71,2.6775974e-05,0.000346032205,1.72544196e-06,5.30739195e-14,0.576624566,12.92323502405552,2.6775974000000003e-06,200.54699782541513,1037660990.8137286
0.72,3.03740524e-05,0.000373550423,1.90335808e-06,5.34028511e-14,0.576624566,12.29833998047623,3.03740524e-06,196.25861624524165,1113281315.3213544
0.73,3.42460624e-05,0.000400793772,2.09138449e-06,5.37145783e-14,0.576624566,11.70335343429147,3.42460624e-06,191.6404056338775,1187541855.3597038
0.74,3.83885695e-05,0.000427630714,2.28950912e-06,5.40098991e-14,0.576624566,11.139532406905655,3.83885695e-06,186.77834050296337,1260130884.9883888
0.75,4.27969897e-05,0.000453962567,2.49772587e-06,5.42896042e-14,0.576624566,10.60734809112053,4.27969897e-06,181.7503563751774,1330832810.1006072
0.76,4.74659058e-05,0.000479720786,2.71604004e-06,5.45544718e-14,0.576624566,10.106639237462945,4.7465905800000006e-06,176.62507876724823,1399517434.166218
0.77,5.23893505e-05,0.00050486326,2.94447287e-06,5.48052638e-14,0.576624566,9.636753561203244,5.23893505e-06,171.46133868097075,1466127117.0541973
0.78,5.75610502e-05,0.000529370117,3.18306502e-06,5.50427221e-14,0.576624566,9.196672318532507,5.75610502e-06,166.3082952040986,1530663230.8739867
0.79,6.29746262e-05,0.00055323945,3.43187915e-06,5.5267566e-14,0.576624566,8.785116853936959,6.29746262e-06,161.2059824425927,1593172986.502454
0.8,6.86237529e-05,0.000576483227,3.69100172e-06,5.54804904e-14,0.576624566,8.400636844214329,6.8623752900000005e-06,156.1861171389538,1653737278.1877427
0.81,7.45022786e-05,0.000599123598,3.96054403e-06,5.56821637e-14,0.576624566,8.041681533214208,7.45022786e-06,151.27305578774235,1712460073.5423932
